Page,Clicks,Impressions,CTR,Position
https://sim-hikari-guide.com/articles/povo-data-yoryou-tsuika-houhou,1,3,0.3333333333333333,12.0
https://sim-hikari-guide.com/articles/povo-kaituu-dekinai-fix,1,5,0.2,13.6
https://sim-hikari-guide.com/articles/5g-sim-speed-hikaku,0,1,0,6.0
https://sim-hikari-guide.com/articles/ahamo-esim-settei-tejun,0,2,0,11.0
https://sim-hikari-guide.com/articles/au-denki-fee-hikaku,0,1,0,5.0
https://sim-hikari-guide.com/articles/au-smart-value-denki,0,6,0,7.5
https://sim-hikari-guide.com/articles/biglobe-hikari-tsunagaranai-fix,0,5,0,9.0
https://sim-hikari-guide.com/articles/esim-saihakko-tejun,0,4,0,7.3
https://sim-hikari-guide.com/articles/hikari-kaituu-itsu,0,1,0,8.0
https://sim-hikari-guide.com/articles/hikkoshi-internet-denki,0,1,0,11.0
https://sim-hikari-guide.com/articles/home-router-norikae-tejun,0,5,0,17.0
https://sim-hikari-guide.com/articles/iijmio-esim-settei-houhou,0,2,0,9.0
https://sim-hikari-guide.com/articles/linemo-kaituu-dekinai-fix,0,1,0,8.0
https://sim-hikari-guide.com/articles/mineo-speed-slow-fix,0,1,0,10.0
https://sim-hikari-guide.com/articles/mnp-error-fix,0,12,0,8.2
https://sim-hikari-guide.com/articles/mobareco-air-wimax-hikaku,0,1,0,6.0
https://sim-hikari-guide.com/articles/nuro-hikari-tsunagaranai-fix,0,10,0,37.4
https://sim-hikari-guide.com/articles/povo-esim-settei-tejun,0,5,0,22.6
https://sim-hikari-guide.com/articles/povo-seikyu-kingaku-awanai-fix,0,6,0,6.0
https://sim-hikari-guide.com/articles/povo-speed-slow-fix,0,6,0,11.0
https://sim-hikari-guide.com/articles/rakuten-denki-rakuten-mobile,0,2,0,8.5
https://sim-hikari-guide.com/articles/senior-sim-kakehoudai-hikaku,0,1,0,4.0
https://sim-hikari-guide.com/articles/sim-1gb-fee-hikaku,0,1,0,10.0
https://sim-hikari-guide.com/articles/sim-kengai-hyoji-fix,0,1,0,5.0
https://sim-hikari-guide.com/articles/sim-onsei-tuwa-dekinai-genin,0,5,0,6.8
https://sim-hikari-guide.com/articles/sim-speed-slow-fix,0,4,0,14.0
https://sim-hikari-guide.com/articles/sim-tuuwa-teigaku-hikaku,0,1,0,30.0
https://sim-hikari-guide.com/articles/smartphone-denki-matomete,0,1,0,20.0
https://sim-hikari-guide.com/articles/softbank-hikari-speed-slow-fix,0,3,0,39.7
https://sim-hikari-guide.com/articles/uq-mobile-kaituu-dekinai-fix,0,2,0,9.0
https://sim-hikari-guide.com/articles/uq-mobile-kishu-henkou-tejun,0,1,0,10.0
https://sim-hikari-guide.com/articles/uq-mobile-speed-slow-fix,0,5,0,9.0
https://sim-hikari-guide.com/articles/wimax-kaiyaku-iyakukin,0,5,0,78.4
