Page,Clicks,Impressions,CTR,Position
https://sim-hikari-guide.com/articles/esim-profile-sakujo-dekinai-fix,1,2,0.5,18.0
https://sim-hikari-guide.com/articles/nuro-hikari-tsunagaranai-fix,1,10,0.1,34.2
https://sim-hikari-guide.com/articles/ahamo-kaiyaku-tejun,0,1,0,71.0
https://sim-hikari-guide.com/articles/ahamo-oomori-option-moushikomi-tejun,0,3,0,49.0
https://sim-hikari-guide.com/articles/au-smart-value-denki,0,1,0,9.0
https://sim-hikari-guide.com/articles/biglobe-hikari-tsunagaranai-fix,0,2,0,11.0
https://sim-hikari-guide.com/articles/docomo-hikari-tsunagaranai-fix,0,4,0,47.0
https://sim-hikari-guide.com/articles/esim-kishu-henkou-tejun,0,3,0,83.0
https://sim-hikari-guide.com/articles/hikari-provider-chigai,0,1,0,83.0
https://sim-hikari-guide.com/articles/hikkoshi-hikari-denki-set,0,2,0,13.5
https://sim-hikari-guide.com/articles/hikkoshi-hikari-tetsuzuki,0,1,0,10.0
https://sim-hikari-guide.com/articles/hikkoshi-wimax-osusume,0,1,0,11.0
https://sim-hikari-guide.com/articles/iijmio-esim-settei-tejun,0,3,0,76.3
https://sim-hikari-guide.com/articles/iijmio-speed-slow-fix,0,13,0,55.8
https://sim-hikari-guide.com/articles/linemo-esim-settei-houhou,0,2,0,79.0
https://sim-hikari-guide.com/articles/linemo-kaituu-dekinai-fix,0,1,0,6.0
https://sim-hikari-guide.com/articles/linemo-kishu-henkou-tejun,0,3,0,101.0
https://sim-hikari-guide.com/articles/linemo-speed-slow-fix,0,2,0,23.5
https://sim-hikari-guide.com/articles/mansion-hikari-slow-fix,0,3,0,77.0
https://sim-hikari-guide.com/articles/mineo-esim-settei-tejun,0,1,0,44.0
https://sim-hikari-guide.com/articles/mineo-kaituu-dekinai-fix,0,1,0,4.0
https://sim-hikari-guide.com/articles/mineo-speed-slow-fix,0,18,0,36.4
https://sim-hikari-guide.com/articles/mnp-error-fix,0,12,0,6.4
https://sim-hikari-guide.com/articles/mnp-reservation-number,0,1,0,7.0
https://sim-hikari-guide.com/articles/mnp-yoyaku-bangou-shutoku-dekinai-fix,0,1,0,5.0
https://sim-hikari-guide.com/articles/mobareco-air-wimax-hikaku,0,3,0,10.0
https://sim-hikari-guide.com/articles/nuro-hikari-kaiyaku-kin-hikaku,0,4,0,85.8
https://sim-hikari-guide.com/articles/nuro-hikari-kaiyaku-tejun,0,15,0,85.2
https://sim-hikari-guide.com/articles/nuro-hikari-mansion-hyoban,0,5,0,95.4
https://sim-hikari-guide.com/articles/povo-data-yoryou-tsuika-houhou,0,10,0,9.0
https://sim-hikari-guide.com/articles/povo-esim-settei-tejun,0,6,0,26.7
https://sim-hikari-guide.com/articles/povo-seikyu-kingaku-awanai-fix,0,1,0,9.0
https://sim-hikari-guide.com/articles/povo-speed-slow-fix,0,7,0,15.6
https://sim-hikari-guide.com/articles/rakuten-denki-rakuten-mobile,0,3,0,8.7
https://sim-hikari-guide.com/articles/rakuten-mobile-mnp-tejun,0,1,0,86.0
https://sim-hikari-guide.com/articles/rakuten-mobile-speed-slow-fix,0,4,0,94.3
https://sim-hikari-guide.com/articles/sim-houjin-osusume,0,1,0,89.0
https://sim-hikari-guide.com/articles/sim-kengai-hyoji-fix,0,1,0,5.0
https://sim-hikari-guide.com/articles/sim-kodomo-osusume,0,1,0,6.0
https://sim-hikari-guide.com/articles/sim-museigen-hikaku-osusume,0,1,0,95.0
https://sim-hikari-guide.com/articles/sim-speed-slow-fix,0,1,0,10.0
https://sim-hikari-guide.com/articles/sim-tsunagaranai-fix,0,3,0,28.0
https://sim-hikari-guide.com/articles/softbank-hikari-shogai-kakunin,0,3,0,8.0
https://sim-hikari-guide.com/articles/softbank-hikari-speed-slow-fix,0,9,0,54.8
https://sim-hikari-guide.com/articles/uq-mobile-kaituu-dekinai-fix,0,4,0,9.8
https://sim-hikari-guide.com/articles/uq-mobile-speed-slow-fix,0,6,0,35.0
https://sim-hikari-guide.com/articles/wimax-home-router-osusume,0,25,0,34.4
https://sim-hikari-guide.com/articles/wimax-kaiyaku-dekinai-fix,0,1,0,2.0
https://sim-hikari-guide.com/articles/ymobile-kaiyaku-tejun,0,2,0,88.5
https://sim-hikari-guide.com/trouble,0,1,0,9.0
